mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.017000341415405275,0.0010948434894891051,0.004999542236328125,0.0006334662499131045,215.67367368699792,rbf,"{'svc__C': 215.67367368699792, 'svc__kernel': 'rbf'}",0.6948450854700854,0.5299235993208828,0.5072809194201384,0.711435070306038,0.5312586159360353,0.594948658090636,0.08890297247590487,2,0.8046016470490056,0.6720715744599348,0.6545757295757297,0.738789280894544,0.687559354226021,0.711519517241047,0.054370483636518266,1
0.017600488662719727,0.0004900407104201496,0.0051997661590576175,0.0004013330075303763,271.7833896527901,rbf,"{'svc__C': 271.7833896527901, 'svc__kernel': 'rbf'}",0.6948450854700854,0.5167657045840408,0.4890296460754865,0.7210504549214226,0.5312586159360353,0.5905899013974142,0.09713269105971654,5,0.8046016470490056,0.6593364560203568,0.6393034760257487,0.7535285804670084,0.687559354226021,0.7088659027576281,0.06149171299037622,2
0.01959962844848633,0.0014968032356453022,0.005000162124633789,5.917393515582492e-07,332.5160670319884,rbf,"{'svc__C': 332.5160670319884, 'svc__kernel': 'rbf'}",0.6809561965811965,0.5299235993208828,0.5021875408123286,0.7210504549214226,0.5151295836779708,0.5898494750627603,0.09205750299701126,6,0.7907623380962298,0.6720715744599348,0.6569685547946418,0.7526952201370807,0.6645129561796229,0.707402128733502,0.054095587993423476,3
0.02539854049682617,0.002938603745532452,0.005600643157958984,0.000490428150770985,567.7202086696135,rbf,"{'svc__C': 567.7202086696135, 'svc__kernel': 'rbf'}",0.6888354700854701,0.5511460101867572,0.5118029254277132,0.6910325337744693,0.5151295836779708,0.5915893046304761,0.0814780802647782,4,0.7930752047654506,0.694616331013071,0.666446112572873,0.7155030596207066,0.6649794649794649,0.7069240345903132,0.04699981372527368,4
0.030799436569213866,0.003369791198310821,0.0057999610900878905,0.00132650412266972,885.6515339234714,rbf,"{'svc__C': 885.6515339234714, 'svc__kernel': 'rbf'}",0.6514423076923077,0.6148078011405685,0.5082604153062558,0.6968569065343259,0.523194099807003,0.5989123060960923,0.07287828847170069,1,0.7537904539911727,0.6982636131325738,0.6671172742601315,0.7174856358802846,0.6765474109224109,0.7026408776373148,0.030979353947805488,5
0.021999883651733398,0.005215605647832165,0.004800558090209961,0.0004006632273120276,438.8822501076388,rbf,"{'svc__C': 438.8822501076388, 'svc__kernel': 'rbf'}",0.6653311965811965,0.5511460101867572,0.5118029254277132,0.7049214226633581,0.5055141990625862,0.5877431507843223,0.08199819666251351,9,0.7671195324580025,0.6949896352489746,0.666446112572873,0.7287485201075146,0.6532356532356532,0.7021078907246034,0.041586450374912654,6
0.2452000617980957,0.05295475837060238,0.0036001205444335938,0.0004892990328704263,31.636345043181166,linear,"{'svc__C': 31.636345043181166, 'svc__kernel': 'linear'}",0.5948851495726496,0.5399797570850202,0.6095076400679117,0.6612213950923629,0.5570030328094844,0.5925193949254857,0.0425111458734331,3,0.6819605408760897,0.6745650234381324,0.648065023065023,0.7611087391383413,0.7258745505068338,0.698314775404884,0.04014765846410273,7
0.014399862289428711,0.0007999068272008527,0.005400419235229492,0.0004908571989983637,112.03869841967261,rbf,"{'svc__C': 112.03869841967261, 'svc__kernel': 'rbf'}",0.6531784188034188,0.5132231944625832,0.5102520569413609,0.6265508684863523,0.5200923628342984,0.5646593803056028,0.06206163642997511,22,0.765407880274565,0.6611360754453763,0.6645351645351645,0.7180939180939182,0.6782528147735521,0.6974851706245153,0.03953494173935509,8
0.016799497604370116,0.0007484056250971927,0.005200862884521484,0.000400783971680952,187.31363984802368,rbf,"{'svc__C': 187.31363984802368, 'svc__kernel': 'rbf'}",0.6670673076923076,0.5379881154499151,0.5021875408123286,0.6879307968017645,0.5120278467052661,0.5814403214923164,0.07957309998843841,12,0.7788421368569565,0.682332450201158,0.6529055926316201,0.7097433294616393,0.6617649017649017,0.6971176821832551,0.045302151144303464,9
0.016198110580444337,0.0013267699587111382,0.005401992797851562,0.0004895705146603966,162.05339696343228,rbf,"{'svc__C': 162.05339696343228, 'svc__kernel': 'rbf'}",0.6670673076923076,0.5314744678072352,0.49709416220451874,0.6879307968017645,0.5039633305762339,0.5775060130164119,0.08271439224693608,16,0.7788421368569565,0.6758763928260686,0.6505417505417506,0.709045584045584,0.6504103001289702,0.6929432328798659,0.04803357267539685,10
0.01660008430480957,0.0007999897358449762,0.004999923706054688,2.78041453115716e-07,169.21131905576897,rbf,"{'svc__C': 169.21131905576897, 'svc__kernel': 'rbf'}",0.6670673076923076,0.5314744678072352,0.49709416220451874,0.6879307968017645,0.5039633305762339,0.5775060130164119,0.08271439224693608,16,0.7788421368569565,0.6758763928260686,0.6505417505417506,0.709045584045584,0.6504103001289702,0.6929432328798659,0.04803357267539685,10
0.46199889183044435,0.14399704487516804,0.0035999298095703127,0.0004904100227842293,55.37786003913442,linear,"{'svc__C': 55.37786003913442, 'svc__kernel': 'linear'}",0.5827323717948718,0.5222998563406034,0.6124787775891342,0.6627722635787152,0.5473876481940998,0.5855341834994848,0.04930176589302074,10,0.677153052710068,0.6484118003105345,0.6575255935721052,0.7635781591005472,0.7176545958583077,0.6928646403103125,0.042630272879960955,12
