mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.04520010948181152,0.002637371997901256,0.0031999588012695313,0.0004003535287033622,302.34514136199306,{'logisticregression__C': 302.34514136199306},0.5852697649572649,0.5222998563406034,0.5882852292020373,0.6423697270471463,0.709091535704439,0.6094632226502982,0.06267363404448616,2,0.6741423756353098,0.6475520384784127,0.6235042735042736,0.739777869189634,0.7420683949268713,0.6854089903469003,0.04808022981053832,1
0.04439992904663086,0.002153945286785405,0.0034000396728515623,0.0004902129362053816,229.13121388330973,{'logisticregression__C': 229.13121388330973},0.5930822649572649,0.5222998563406034,0.5700339558573854,0.6497449682933554,0.7149159084642956,0.6100153907825809,0.06657599989547548,1,0.6860883593943907,0.6483183463733015,0.6065746811884963,0.7413159167876149,0.742844491231588,0.6850283589950783,0.05294284181634803,2
0.04760003089904785,0.003929579644031794,0.0031996250152587892,0.00039968499133819787,125.76202741082203,{'logisticregression__C': 125.76202741082203},0.5852697649572649,0.5091419616037612,0.5831918505942275,0.6497449682933554,0.7149159084642956,0.6084528907825809,0.06939401692918992,3,0.674407798260056,0.6355188347193678,0.6215124626889333,0.7413159167876149,0.7439894544372158,0.6833488933786376,0.05143705921241489,3
0.033399438858032225,0.002417389125038578,0.0021995067596435546,0.00040085393343104785,104.65074136573224,{'logisticregression__C': 104.65074136573224},0.5852697649572649,0.5091419616037612,0.5700339558573854,0.65936035290874,0.7149159084642956,0.6077443887582894,0.07183253649511574,4,0.6745101492841095,0.6355188347193678,0.6084100053059971,0.7540950852426261,0.7434220815022224,0.6831912312108647,0.05761139151569531,4
0.046800756454467775,0.0024809557570214945,0.0033996105194091797,0.0004893960975422001,27.868399582322166,{'logisticregression__C': 27.868399582322166},0.5852697649572649,0.5222998563406034,0.5700339558573854,0.6262406947890818,0.7229804245933279,0.6053649393075327,0.06755901416978141,5,0.674407798260056,0.647542331086635,0.6084100053059971,0.7156288156288155,0.7563832209226217,0.680474434240825,0.05159958107244485,5
0.043799734115600585,0.0007483541000581763,0.003000164031982422,5.761645304486548e-07,24.221528752331896,{'logisticregression__C': 24.221528752331896},0.5791933760683761,0.5091419616037612,0.5780984719864177,0.6262406947890818,0.7214295561069755,0.6028208121109225,0.07008809017871633,12,0.672269252925566,0.6360924417423336,0.620051928747581,0.7156288156288155,0.7566760037348272,0.6801436885558247,0.05045776092775886,6
0.0467991828918457,0.0027113613292895165,0.003799247741699219,0.000979044305957467,19.944516649904912,{'logisticregression__C': 19.944516649904912},0.5930822649572649,0.5091419616037612,0.5700339558573854,0.6262406947890818,0.7171560518334712,0.6031309858081929,0.06865289678441286,8,0.6860883593943907,0.6353180042590355,0.6084100053059971,0.7152930402930403,0.7543892888720475,0.6798997396249022,0.05279771005469691,7
0.04520020484924316,0.0017202130082859075,0.0038012027740478515,0.0007484822452847407,9.041473358639108,{'logisticregression__C': 9.041473358639108},0.5791933760683761,0.5222998563406034,0.5619694397283531,0.6343052109181141,0.7171560518334712,0.6029847869777836,0.06748984316106804,9,0.6695525761212576,0.6488103229010135,0.5977179862048283,0.7280935771744595,0.7543892888720475,0.6797127502547212,0.05603324070527029,8
0.04360008239746094,0.0018539777198604873,0.0035999774932861327,0.0004893788744983149,4.44794862206177,{'logisticregression__C': 4.44794862206177},0.5731169871794872,0.5222998563406034,0.5780984719864177,0.5509718775847807,0.6418872346291702,0.5732748855440919,0.03956469166153676,42,0.663690372459245,0.6505746252581694,0.6207977207977208,0.7085509576318401,0.7498619165976249,0.6786951185489201,0.0454402849602458,9
0.04819955825805664,0.004020408576574294,0.0033994674682617187,0.0004907775330091907,37.75868729126436,{'logisticregression__C': 37.75868729126436},0.5930822649572649,0.5091419616037612,0.5751273344651953,0.6358560794044665,0.705300523848911,0.6037016328559197,0.0651567893841532,7,0.6860883593943907,0.6353180042590355,0.6109262196218719,0.7280070034787015,0.7321153134693645,0.6784909800446728,0.04860869999109834,10
0.045400238037109374,0.001743581216246498,0.0037996768951416016,0.0016001463886665362,33.019094705700596,{'logisticregression__C': 33.019094705700596},0.5930822649572649,0.5091419616037612,0.5751273344651953,0.6358560794044665,0.7010270195754067,0.6028469320012189,0.06383303172432177,11,0.6860883593943907,0.6354114581962683,0.6109262196218719,0.7280070034787015,0.7293093144369502,0.6779484710256366,0.04798214320683705,11
0.043801736831665036,0.0024818824016254347,0.002998542785644531,0.0006325623216613718,94.95015587564623,{'logisticregression__C': 94.95015587564623},0.5930822649572649,0.5091419616037612,0.5619694397283531,0.6416804521643231,0.7149159084642956,0.6041580053835995,0.07015104101986774,6,0.6860883593943907,0.6355188347193678,0.595407721189949,0.7286706210203479,0.7434220815022224,0.6778215235652556,0.055747568186985126,12
0.0441993236541748,0.0007476658631095667,0.003400373458862305,0.0004898438930083482,80.03233597846814,{'logisticregression__C': 80.03233597846814},0.5713808760683761,0.5222998563406034,0.5751273344651953,0.6358560794044665,0.709091535704439,0.602751136396616,0.06422428497906246,14,0.6610210067916694,0.6483183463733015,0.6096512183468705,0.7280070034787015,0.7420683949268713,0.6778131939834828,0.049892139398579366,13
