mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__learning_rate,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__activation,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.7770048141479493,0.18649309617810791,0.004199075698852539,0.00039938297144708086,constant,"(200, 200)",relu,"{'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__hidden_layer_sizes': (200, 200), 'mlpclassifier__activation': 'relu'}",0.6756810897435898,0.5401103565365026,0.7718590831918506,0.5787496553625585,0.5574855252274606,0.6247771420123923,0.0872232366922819,4,0.7695786303650565,0.6745964904547737,0.7097012021402265,0.7317316411796267,0.7139327168994688,0.7199081362078303,0.0309838204211901,1
1.7968059062957764,0.15863418389210923,0.004393577575683594,0.00048582284227592605,invscaling,"(200, 200)",relu,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (200, 200), 'mlpclassifier__activation': 'relu'}",0.663528311965812,0.5173370771842758,0.7602520569413609,0.5691342707471739,0.640818858560794,0.6302141150798832,0.08319150880926945,3,0.7676299531102212,0.6477097469254451,0.7007948367182293,0.7181113195747343,0.7379813463847077,0.7144454405426675,0.040089803434975695,2
0.7684015750885009,0.029815670900283083,0.0032013416290283202,0.00040038374155839675,invscaling,"(50, 50, 50, 50)",relu,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (50, 50, 50, 50), 'mlpclassifier__activation': 'relu'}",0.6539797008547008,0.5224304557920857,0.6564744678072352,0.5830231596360629,0.5413564929693961,0.5914528554118961,0.0556456888350541,23,0.748860092393389,0.6495784670365723,0.711994301994302,0.7315146094215862,0.6951282051282052,0.7074151351948109,0.0341042130473184,3
2.898004722595215,0.7699486290808706,0.005195522308349609,0.000393797277052409,invscaling,"(200, 200, 200)",tanh,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (200, 200, 200), 'mlpclassifier__activation': 'tanh'}",0.6486378205128205,0.5137945670628183,0.6256366723259763,0.7431761786600496,0.6246898263027295,0.6311870129728788,0.0730754541385472,2,0.7310178588823051,0.6496089082093655,0.6714681714681714,0.7638565277663022,0.7140147677900094,0.7059932468232307,0.041011973271277744,4
0.7364021301269531,0.018936736367726185,0.0033983230590820313,0.0004892794596235521,adaptive,"(50, 50, 50, 50)",relu,"{'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__hidden_layer_sizes': (50, 50, 50, 50), 'mlpclassifier__activation': 'relu'}",0.6599893162393162,0.5173370771842758,0.742572156196944,0.6236214502343534,0.6466432313206507,0.638032646235108,0.0724704762436763,1,0.7557924346731807,0.6477097469254451,0.6762774149555055,0.7024917539228809,0.7398190045248868,0.7044180710003799,0.0397592569767056,5
0.7867988109588623,0.05797619346009652,0.0037987232208251953,0.00039923553786932385,invscaling,"(50, 50, 50, 50)",tanh,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (50, 50, 50, 50), 'mlpclassifier__activation': 'tanh'}",0.671340811965812,0.5179084497845109,0.6352520569413609,0.6215880893300247,0.5413564929693961,0.597489180198221,0.05821482117932691,20,0.7784217484462139,0.6341898104414636,0.6855280690897129,0.711462610716342,0.690440107156525,0.7000084691700514,0.04671867100066693,6
0.8136001586914062,0.020284281684103424,0.0036005020141601563,0.0004899076480457228,adaptive,"(50, 50, 50, 50)",tanh,"{'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__hidden_layer_sizes': (50, 50, 50, 50), 'mlpclassifier__activation': 'tanh'}",0.649639423076923,0.5047505550476687,0.6008717513386443,0.7315274331403363,0.6188654535428729,0.6211309232292891,0.07343034857712001,6,0.7534456820702964,0.6220845610769958,0.6469019947280816,0.7599115560473875,0.7129669035953289,0.6990621395036181,0.05567726994689431,7
1.0832006454467773,0.012781127194924162,0.004000186920166016,3.969508245137674e-06,invscaling,"(100, 100, 100)",relu,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (100, 100, 100), 'mlpclassifier__activation': 'relu'}",0.6279380341880342,0.5188879456706282,0.6484099516782029,0.5903984008822718,0.5348428453267162,0.5840954355491708,0.050549168523708735,32,0.730632911392405,0.6520790752795287,0.7007967243261362,0.7326436781609196,0.6784667107583775,0.6989238199834734,0.03085101783860329,8
0.8376010894775391,0.07109335400530377,0.004802036285400391,0.0017192061862932395,invscaling,"(100, 100)",relu,"{'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__hidden_layer_sizes': (100, 100), 'mlpclassifier__activation': 'relu'}",0.626201923076923,0.5077216925688912,0.7592725610552437,0.5799214226633582,0.6327543424317618,0.6211743883592356,0.08222383851954067,5,0.7203068601032148,0.6316224495693891,0.6832722832722832,0.7262140413214312,0.7269820442528331,0.6976795357038302,0.03675855921762866,9
1.5569913387298584,0.28136517416554213,0.004201030731201172,0.0004007351676472067,adaptive,"(200, 200)",relu,"{'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__hidden_layer_sizes': (200, 200), 'mlpclassifier__activation': 'relu'}",0.647903311965812,0.5077216925688912,0.7278633929737496,0.6226564653984008,0.5252274607113316,0.606274464723637,0.0813221545467005,11,0.7443903069595396,0.6316554091668775,0.6598959693954292,0.7818981282613147,0.6663804772402057,0.6968440582046733,0.05663495669472533,10
