mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__n_estimators,param_randomforestclassifier__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.8014011383056641,0.01791707079023755,0.040599632263183597,0.001744133586487803,385,64,"{'randomforestclassifier__n_estimators': 385, 'randomforestclassifier__max_depth': 64}",0.5296474358974359,0.4552207130730051,0.46878673109572944,0.5442859112213951,0.5135787151916185,0.5023039012958368,0.03457602285322185,3,0.6820078520036433,0.5940166665186865,0.627225240128466,0.714031339031339,0.6628616481557658,0.6560285491675801,0.04185939142145395,1
0.49219980239868166,0.016191272444529718,0.026000118255615233,0.001095235357544049,239,,"{'randomforestclassifier__n_estimators': 239, 'randomforestclassifier__max_depth': None}",0.5357238247863247,0.43909168081494054,0.4929802794828262,0.5319478908188585,0.5120278467052661,0.5023543045216432,0.03513663203748555,2,0.6836021039246286,0.5670169985490567,0.6611658872528438,0.7064482445289474,0.6617649017649017,0.6559996272040756,0.04750746582824686,2
0.7621994972229004,0.010047429496053868,0.038000059127807614,0.0015497274794799855,374,256,"{'randomforestclassifier__n_estimators': 374, 'randomforestclassifier__max_depth': 256}",0.5513488247863247,0.4375408123285882,0.47175786861695185,0.5281568789633306,0.5120278467052661,0.5001664462800923,0.04067630839706799,4,0.7069033919666832,0.5685121634565907,0.6346035606905172,0.6886023159995762,0.6617649017649017,0.6520772667756537,0.04841960427973923,3
0.5966000556945801,0.012969521212327218,0.029400110244750977,0.0008004317702441238,286,,"{'randomforestclassifier__n_estimators': 286, 'randomforestclassifier__max_depth': None}",0.5453392094017094,0.44560532845762046,0.467235862609377,0.5303970223325062,0.4958988144472016,0.49689524744968294,0.037364459444651124,5,0.6979502078308828,0.5750584029820757,0.625340022296544,0.6996120712589303,0.6388205492683104,0.6473562507273486,0.04706372398596822,4
0.48799986839294435,0.036883859504993684,0.024599885940551756,0.0017436246865874076,225,256,"{'randomforestclassifier__n_estimators': 225, 'randomforestclassifier__max_depth': 256}",0.5296474358974359,0.44715619694397285,0.49807365809063603,0.5223325062034739,0.47394540942928043,0.4942310413129598,0.030614790122882363,10,0.6821823631950213,0.5796519258090209,0.6651416973174008,0.6892297892297893,0.6124978656193972,0.645740728234126,0.04258757214748022,5
0.7754001140594482,0.0596574654918036,0.03659987449645996,0.0018545687859060935,359,16,"{'randomforestclassifier__n_estimators': 359, 'randomforestclassifier__max_depth': 16}",0.5357238247863247,0.44715619694397285,0.4768512472247617,0.5142679900744417,0.5039633305762339,0.49559251792114695,0.030746310258244456,6,0.6829939460649422,0.5775140646976091,0.6388279393907397,0.6747860983155102,0.6506843074007254,0.6449612711739053,0.03729745631344297,6
0.9683997631072998,0.024880754544078898,0.047600746154785156,0.0045869195044003636,439,256,"{'randomforestclassifier__n_estimators': 439, 'randomforestclassifier__max_depth': 256}",0.5513488247863247,0.4375408123285882,0.46878673109572944,0.5362213950923629,0.4804590570719603,0.4948713640749931,0.042601510461243546,7,0.7069033919666832,0.5627256007002843,0.627225240128466,0.7032158032158032,0.623090243090243,0.6446320558202959,0.054379203898015,7
0.8079989910125732,0.025526312241227922,0.03899989128112793,0.0016735407668084694,380,256,"{'randomforestclassifier__n_estimators': 380, 'randomforestclassifier__max_depth': 256}",0.5374599358974359,0.4310271646859083,0.47530037873840925,0.5223325062034739,0.4996898263027295,0.4931619623655913,0.0375116337867963,12,0.6931300197122982,0.5543255497025448,0.636350123306645,0.6891532318527225,0.6486470518728583,0.6443211952894138,0.05014714367197826,8
0.7775999546051026,0.03161406014731335,0.03819937705993652,0.003187798086054848,357,,"{'randomforestclassifier__n_estimators': 357, 'randomforestclassifier__max_depth': None}",0.5261084401709402,0.42947629619955596,0.4768512472247617,0.5539012958367797,0.4878342983181693,0.49483431555004137,0.04268732999861681,8,0.6686889421066636,0.5546133806418617,0.6388279393907397,0.7273456566934828,0.6266625531331413,0.6432276943931778,0.056338912072112564,9
0.3427989959716797,0.007573196622847309,0.019400310516357423,0.0004891425551205273,167,16,"{'randomforestclassifier__n_estimators': 167, 'randomforestclassifier__max_depth': 16}",0.5218349358974359,0.44715619694397285,0.48703800444038137,0.5377722635787152,0.4797697821891371,0.49471423660992847,0.03204232953894796,9,0.670335718216841,0.5776853245207675,0.6453947415007897,0.705732980669042,0.6159260221760221,0.6430149574166923,0.044016835711935653,10
0.8981996059417725,0.015380361530973783,0.04620003700256348,0.0022270043537284475,442,256,"{'randomforestclassifier__n_estimators': 442, 'randomforestclassifier__max_depth': 256}",0.5417334401709402,0.4214117800705237,0.4768512472247617,0.6233457402812241,0.47239454094292804,0.5071473497380756,0.0695333920776447,1,0.6918982568084717,0.5396982641891833,0.6388279393907397,0.732664437012263,0.6118652589240824,0.6429908312649479,0.06646619768938848,11
0.8713995456695557,0.018116784560993405,0.04459991455078125,0.0024980739562675412,427,64,"{'randomforestclassifier__n_estimators': 427, 'randomforestclassifier__max_depth': 64}",0.5417334401709402,0.44715619694397285,0.45562883635888735,0.5362213950923629,0.4820099255583127,0.4925499588248952,0.0396511396711185,14,0.6921126484152684,0.5776853245207675,0.6140101263470829,0.6978944049329083,0.6248508588280318,0.6413106726088118,0.046576796207503095,12
