mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.004399919509887695,0.0004902598778224512,0.007799196243286133,0.0020403022051231528,11,{'kneighborsclassifier__n_neighbors': 11},0.45592948717948717,0.38123612380828,0.40046689303904925,0.5447684036393714,0.4907637165701682,0.4546329248472712,0.059586188208497454,1,0.6092394244292978,0.5061541153823719,0.5364996114996116,0.6341255679904836,0.6420512820512821,0.5856140002706094,0.0544477660421612,1
0.005006074905395508,1.39020726557858e-06,0.0065956592559814455,0.0004901185848464953,10,{'kneighborsclassifier__n_neighbors': 10},0.46374198717948717,0.3943940185451221,0.3908515084236646,0.47105045492142267,0.4907637165701682,0.442160337127973,0.04141717545230212,4,0.6171657545894172,0.5203838667973689,0.5213480963480964,0.6240791615791615,0.6438382610966946,0.5853630280821478,0.05338521924381107,2
0.004400300979614258,0.0004904274553362828,0.006998443603515625,8.064048063892252e-07,8,{'kneighborsclassifier__n_neighbors': 8},0.4662793803418803,0.3621359540289931,0.43130468852030823,0.4607457954232148,0.49162531017369726,0.4424182256976187,0.04448672954602608,3,0.613887008044272,0.4786342969514973,0.57535935050975,0.6069046948167827,0.6384967497291439,0.5826564200102891,0.05577691313097944,3
0.004400730133056641,0.0007974546282022263,0.005599069595336914,0.0013553001666600927,9,{'kneighborsclassifier__n_neighbors': 9},0.4264155982905983,0.3666579600365678,0.4040094031605067,0.4864902122966639,0.49231458505652054,0.4351775517681714,0.04825098853069125,5,0.5685063823137259,0.49171235150044634,0.5386264419856152,0.6442400594574508,0.6452386008837622,0.5776647672282001,0.05999029446792843,4
0.004798364639282226,0.00039659490994902,0.006798648834228515,0.0003995435763398355,12,{'kneighborsclassifier__n_neighbors': 12},0.44811698717948717,0.3635562230638631,0.37924448217317486,0.4791149710504549,0.4768748276812793,0.4293814982296519,0.048840025464995454,6,0.5988375442699068,0.4767090478729873,0.508187199135475,0.6351093261936636,0.6272189349112426,0.569212410476655,0.06459993412145916,5
0.004600381851196289,0.0004896688488932043,0.007199287414550781,0.00040006961525661434,5,{'kneighborsclassifier__n_neighbors': 5},0.48724626068376065,0.3687802011231553,0.38079535065952724,0.5456299972429005,0.4358629721532947,0.4436629563725276,0.06620783106882265,2,0.6490018326555449,0.48912199433696946,0.5054102936250977,0.6286023835319611,0.5663281163281163,0.5676929240955378,0.06383647957358266,6
0.004599761962890625,0.0004884808009646842,0.006999778747558594,1.8553806742042277e-06,14,{'kneighborsclassifier__n_neighbors': 14},0.46020299145299143,0.350398328327021,0.3696290975577902,0.44978632478632474,0.49882823269920046,0.4257689949646656,0.056449286859143084,9,0.6151192035085532,0.4601975539092731,0.4955826441245104,0.5960558778452157,0.6578862229724298,0.5649683004719964,0.07470819166088334,7
0.004400634765625,0.0004897652599601235,0.006199026107788086,0.0007480989594953856,7,{'kneighborsclassifier__n_neighbors': 7},0.46380876068376065,0.3667885594880501,0.39395324539636933,0.4696719051557761,0.443927488282327,0.4276299918012566,0.04044214960225197,8,0.6181869347056894,0.4913521588260168,0.5246751494119914,0.6155838657052838,0.5748606805263504,0.5649317578350664,0.050069722014583415,8
0.005597209930419922,0.0017415468936119454,0.00720057487487793,0.0009796500129836876,13,{'kneighborsclassifier__n_neighbors': 13},0.43850160256410253,0.38123612380828,0.3776936136868225,0.44551282051282054,0.4768748276812793,0.423963797650661,0.03857944865584395,11,0.5860595101101431,0.5032962633808116,0.5066693450573799,0.5883699633699635,0.6297473058342623,0.5628284775505121,0.04973552178644593,9
0.004199886322021484,0.0007477807171449415,0.006800079345703125,0.00039954238126260034,15,{'kneighborsclassifier__n_neighbors': 15},0.4324252136752137,0.3716207391928954,0.36001371294240564,0.44978632478632474,0.49882823269920046,0.422534844659208,0.05130746860564614,13,0.5832317030433015,0.48627990307521024,0.4812195605714508,0.5960558778452157,0.6588761033205477,0.5611326295711452,0.06819210839938214,10
