mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_baggingclassifier__base_estimator,param_baggingclassifier__max_features,param_baggingclassifier__max_samples,param_baggingclassifier__n_estimators,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
2.203600311279297,0.029275189651950997,0.010999679565429688,0.0006323347065777994,LogisticRegression(),0.9585799791154637,0.7381075229817785,55,"{'baggingclassifier__base_estimator': LogisticRegression(), 'baggingclassifier__max_features': 0.9585799791154637, 'baggingclassifier__max_samples': 0.7381075229817785, 'baggingclassifier__n_estimators': 55}",0.5496127136752136,0.501077445474729,0.6073853989813243,0.5301902398676592,0.6168320926385442,0.561019578127494,0.044583517224708415,1,0.6367165324127348,0.62696905766526,0.660606882829105,0.6764289215192594,0.7231078691423518,0.6647658527137421,0.03397786682740744,1
0.6011995315551758,0.01968064546837505,0.020200061798095702,0.00365475887787813,,0.7924077121195074,0.6469515696785071,137,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.7924077121195074, 'baggingclassifier__max_samples': 0.6469515696785071, 'baggingclassifier__n_estimators': 137}",0.570579594017094,0.47701449653911454,0.592235862609377,0.5382547559966915,0.5062034739454094,0.5368576366215372,0.04177738472186932,5,0.7306044383207553,0.5949432505805776,0.6425150110504801,0.693822814188947,0.6592812317829678,0.6642333491847456,0.045995620128411366,2
1.131399393081665,0.026400835479191857,0.03000040054321289,4.1019083342755444e-07,,0.7149717488405907,0.8829965879956866,231,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.7149717488405907, 'baggingclassifier__max_samples': 0.8829965879956866, 'baggingclassifier__n_estimators': 231}",0.5488782051282051,0.45876322319446255,0.49807365809063603,0.5478701406120761,0.5120278467052661,0.5131226147461292,0.033670360439784594,20,0.7050303737618577,0.5842891944324726,0.665655425492382,0.7031625887461127,0.6629375296525255,0.6642150224170701,0.0437599144335542,3
1.2969987392425537,0.0541508814447626,0.03060007095336914,0.0018547230126961323,,0.8488137831716701,0.8376304797909919,245,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.8488137831716701, 'baggingclassifier__max_samples': 0.8376304797909919, 'baggingclassifier__n_estimators': 245}",0.5410657051282051,0.47701449653911454,0.6053937573462191,0.550592776399228,0.5082368348497381,0.536460714052501,0.04313496428795025,6,0.6939520820631346,0.5957146921885631,0.6591142191142191,0.7069933718926296,0.6514176634900981,0.6614384057497288,0.03887883159487834,4
13.458806419372559,0.3443815553837144,0.04939999580383301,0.0029393368887558244,LogisticRegression(),0.8097312328541351,0.5445958055810808,354,"{'baggingclassifier__base_estimator': LogisticRegression(), 'baggingclassifier__max_features': 0.8097312328541351, 'baggingclassifier__max_samples': 0.5445958055810808, 'baggingclassifier__n_estimators': 354}",0.5574252136752136,0.49598406686691915,0.5977700143659397,0.5205748552522745,0.6152812241521919,0.5574070748625077,0.04496216783701931,2,0.6481012658227848,0.6253626272150509,0.6460287679799875,0.6626572004146376,0.7227037080860169,0.6609707139036956,0.033077566678903145,5
1.4750009059906006,0.034461064792400964,0.033600139617919925,0.0007997990294190192,,0.8704061291502592,0.9173999261904562,260,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.8704061291502592, 'baggingclassifier__max_samples': 0.9173999261904562, 'baggingclassifier__n_estimators': 260}",0.5410657051282051,0.45579208567324014,0.6003003787384092,0.5463192721257237,0.522125723738627,0.533120633080841,0.046585488609015464,11,0.6944638731220726,0.5730691616217207,0.6548612677644936,0.7080225677721206,0.6644657863145258,0.6589765313189867,0.04709991210786472,6
1.7157988548278809,0.03455600298681491,0.04540162086486817,0.0027270157800720566,,0.8845464989657569,0.608601596036552,382,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.8845464989657569, 'baggingclassifier__max_samples': 0.608601596036552, 'baggingclassifier__n_estimators': 382}",0.5410657051282051,0.4689499804100823,0.5841713464803447,0.5602081610146127,0.5163013509787704,0.534139308802403,0.039493305993524075,9,0.6933931218741344,0.5827191093013878,0.6323931623931625,0.7188270666531537,0.6626130408826586,0.6579891002208994,0.047532740931663146,7
1.5031983852386475,0.014553187985867435,0.04020028114318848,0.0023144568877366246,,0.9398698975671503,0.5702235862691573,337,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.9398698975671503, 'baggingclassifier__max_samples': 0.5702235862691573, 'baggingclassifier__n_estimators': 337}",0.5332532051282051,0.4689499804100823,0.4854871359540289,0.550592776399228,0.5301902398676592,0.5136946675518408,0.031028575864584844,19,0.6816871694300827,0.5827191093013878,0.6445213842474116,0.7023854194585902,0.676197962030605,0.6575022088936155,0.04173717739676732,8
2.4447991847991943,0.031237205673688435,0.053200483322143555,0.0013264747138399479,,0.9193295167903356,0.8424237113736027,437,"{'baggingclassifier__base_estimator': None, 'baggingclassifier__max_features': 0.9193295167903356, 'baggingclassifier__max_samples': 0.8424237113736027, 'baggingclassifier__n_estimators': 437}",0.5332532051282051,0.47701449653911454,0.5973292412171869,0.5521436448855804,0.5082368348497381,0.533595484523965,0.04062169977944726,10,0.6835617182810942,0.5957146921885631,0.6471891471891471,0.7080351021527493,0.6508911256810416,0.6570783570985191,0.0379461090560678,9
8.253000020980835,0.18454164344953033,0.032000160217285155,0.0016735980392303424,LogisticRegression(),0.97668266012809,0.2942822954643458,230,"{'baggingclassifier__base_estimator': LogisticRegression(), 'baggingclassifier__max_features': 0.97668266012809, 'baggingclassifier__max_samples': 0.2942822954643458, 'baggingclassifier__n_estimators': 230}",0.48370726495726496,0.48282617213007706,0.5926766357581298,0.5286393713813068,0.5400124069478909,0.5255723702349339,0.040745130015845926,16,0.6425521033115971,0.6127411360902286,0.6432293993269603,0.6741855615095051,0.7110712622545313,0.6567558924985646,0.033394506075199705,10
