mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_adaboostclassifier__n_estimators,param_adaboostclassifier__base_estimator,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.08279886245727539,0.004955930514953592,0.00760045051574707,0.0004906829426777578,27,,"{'adaboostclassifier__n_estimators': 27, 'adaboostclassifier__base_estimator': None}",0.515758547008547,0.5259675242697315,0.4076825127334465,0.4789081885856079,0.4782189137027847,0.4813071372600235,0.04151464131527323,1,0.5498991965764626,0.5792292016837972,0.5605364784469261,0.632549695805135,0.6230364952772979,0.5890502135579238,0.03313475455101077,1
0.03600049018859863,0.0020977839342751965,0.004999876022338867,5.223489356090222e-07,11,,"{'adaboostclassifier__n_estimators': 11, 'adaboostclassifier__base_estimator': None}",0.4296875,0.430896565234426,0.40343803056027167,0.539426523297491,0.45850565205403915,0.4523908542292455,0.04687520483243206,38,0.5700329191887014,0.5544794426454716,0.5428193040818579,0.6264089289178895,0.6063160583708529,0.5800113306409547,0.03155746715472842,2
0.09099903106689453,0.002755762520208197,0.007801055908203125,0.0007478187911500226,29,,"{'adaboostclassifier__n_estimators': 29, 'adaboostclassifier__base_estimator': None}",0.5096821581196581,0.5259675242697315,0.42890492359932086,0.44820099255583123,0.443927488282327,0.47133661736537374,0.03883782335097119,10,0.5563502029273659,0.5789396441019996,0.5820194050963281,0.5811249619945272,0.5818540433925049,0.5760576515025452,0.009914713421615078,3
0.6503033638000488,0.011879025360304177,0.03810372352600098,0.0025377764127262462,228,,"{'adaboostclassifier__n_estimators': 228, 'adaboostclassifier__base_estimator': None}",0.46941773504273504,0.5675307997039745,0.4654074702886247,0.41835539012958367,0.4039840088227185,0.46493908079752727,0.05732521182942761,20,0.5700682292036483,0.6312999379937805,0.5983773070729593,0.5059015059015058,0.5058010365465421,0.5622896033436872,0.04999166206715538,4
0.6793992042541503,0.019272237079249195,0.03820042610168457,0.001940151273239631,237,,"{'adaboostclassifier__n_estimators': 237, 'adaboostclassifier__base_estimator': None}",0.4512553418803419,0.5382438727090679,0.4962452657698838,0.43224427901847257,0.40553487730907084,0.46470472733736745,0.04719840949273513,21,0.5546171048917646,0.5925360104757748,0.6377307072959246,0.5178752865590166,0.5017094017094017,0.5608937021863765,0.04959419766005273,5
0.04480390548706055,0.0022258750444409123,0.004998302459716797,0.000632791935327545,13,,"{'adaboostclassifier__n_estimators': 13, 'adaboostclassifier__base_estimator': None}",0.4584668803418803,0.45012733446519526,0.3953735144312394,0.46322718500137855,0.44237661979597465,0.4419143068071336,0.02433901961515191,52,0.6088701347296074,0.5826607271497669,0.5427052622174574,0.48668782198193966,0.5807464631714478,0.5603340818500439,0.0424392264417636,6
0.2637979030609131,0.004914968850651387,0.01699986457824707,0.0014143470928330091,94,,"{'adaboostclassifier__n_estimators': 94, 'adaboostclassifier__base_estimator': None}",0.4533253205128205,0.5427658787166427,0.40613164424709414,0.43992969396195203,0.4472015439757375,0.45787081628284937,0.04547635060572738,27,0.5644317728019911,0.6046025510451526,0.5475437486822685,0.5404625622411466,0.5394491839504627,0.5592979637442043,0.024354751514869242,7
0.7002062797546387,0.00657919918017249,0.04220070838928223,0.0009797346898573667,244,,"{'adaboostclassifier__n_estimators': 244, 'adaboostclassifier__base_estimator': None}",0.46334134615384615,0.5463083888381002,0.47856536502546687,0.44992417976288945,0.3797904604356217,0.46358594804318487,0.05343364601113305,23,0.5730375228345136,0.6055228717578112,0.6101989797641971,0.5447463030796365,0.4590058420703582,0.5585023039013033,0.05510630846235363,8
0.5383987426757812,0.00997281693013299,0.03299999237060547,0.004648228123541359,188,,"{'adaboostclassifier__n_estimators': 188, 'adaboostclassifier__base_estimator': None}",0.4145299145299145,0.5433372513168777,0.43953245396369334,0.4264199062586159,0.4463399503722084,0.454031895288262,0.045973198393673184,35,0.5299769850402761,0.5937587387058232,0.5733077009672755,0.5203849913527333,0.5631214663472728,0.5561099764826762,0.02728208136769547,9
0.5412001132965087,0.01171992674013938,0.032200288772583005,0.0017213106695327042,195,,"{'adaboostclassifier__n_estimators': 195, 'adaboostclassifier__base_estimator': None}",0.4387019230769231,0.5221148404510034,0.4526903487005355,0.4264199062586159,0.43827543424317617,0.4556404905460508,0.0342632319742374,29,0.5585550304480854,0.568059017426106,0.5830104503479568,0.5208051208051209,0.5497832291284386,0.5560425696311415,0.020778985589375465,10
0.6579994201660156,0.029603813583216405,0.03980045318603516,0.003919751274071277,229,,"{'adaboostclassifier__n_estimators': 229, 'adaboostclassifier__base_estimator': None}",0.47723023504273504,0.5382438727090679,0.4654074702886247,0.41835539012958367,0.3959194926936862,0.4590312921727396,0.049566356179739125,26,0.5847469304747785,0.5925360104757748,0.5983773070729593,0.5059015059015058,0.4915439772582629,0.5546211462366563,0.04606958653619612,11
0.10399975776672363,0.004858004011527054,0.00800018310546875,3.8146972656249997e-07,33,,"{'adaboostclassifier__n_estimators': 33, 'adaboostclassifier__base_estimator': None}",0.4324252136752137,0.47545818640895043,0.42890492359932086,0.5203680727874276,0.4192514474772539,0.4552815687896333,0.037840874523741894,30,0.5292785350819751,0.5187668151545891,0.5835858585858585,0.5895785374046242,0.549785807412926,0.5541991107279947,0.028323999321810563,12
